 (0.09454780230873235+0.0j)  (-1.4100478219177568e-17+0.0j)  (0.08839591628862781+0.0j)  (-0.033544174370514726-0.0j)  (0.4909262960890255+0.0j)  (0.003286677839813061+0.0j)  (0.49087727724268904+0.0j)  (0.00623617499230712+0.0j)  (0.49103615626045777+0.0j)  (-0.0018096338136147246+0.0j)  (0.48989074123225107+0.0j)  (-0.033268662932517276+0.0j)  (0.09452655553611379+0.0j)  (0.0025510637894174495-0.0j)  (-0.002123198485497655+0.0j)  (-0.09453587882632336+0.0j)
 (0.07150147781095262-2.334042140410222e-18j)  (-0.057273808862062875-0.023426264033257056j)  (-0.08050924188546534+0.0010592069779201045j)  (-0.04950885480161763+0.0027912319533747684j)  (0.4908602474613525+1.0872958853368707e-05j)  (-0.012382325822256925-0.0016240780744458385j)  (-0.4907297132888819+3.498714666424233e-05j)  (0.01722046201337701-0.0027539950874072806j)  (0.49025876298542614+5.793255978908471e-06j)  (-0.025362676720861645+0.0015719744661718315j)  (-0.4884902788141047-2.7233056240674564e-05j)  (0.04895422752552588-0.0004010146766288825j)  (0.05568457891297608+0.0003381227123859718j)  (0.07537369606107606-0.012528724480728377j)  (0.06313398881896866+0.006356041866762588j)  (0.07009255831409508-0.0001427514995662369j)
 (0.09454780230873233+1.1578766346380545e-17j)  (-1.0733880670615224e-16-7.160782848407985e-17j)  (-0.0883959162886285+1.1410917752264131e-17j)  (0.03354417437051408+6.352533411747866e-17j)  (0.4909262960890259+6.012028239521e-17j)  (0.0032866778398131145+1.6651080670917551e-18j)  (-0.49087727724268926-6.00680316183626e-17j)  (-0.006236174992307126-3.534481777251354e-18j)  (-0.4910361562604579-6.014290699442131e-17j)  (0.0018096338136146819-2.698018058663958e-18j)  (0.48989074123225124+5.960527490131697e-17j)  (-0.033268662932517304-9.73900115357437e-18j)  (-0.09452655553611194-1.2646086999407647e-17j)  (-0.0025510637894174764+3.3872720643359695e-17j)  (-0.002123198485497588-2.5270173393793727e-17j)  (-0.09453587882632325-1.0989163725637726e-17j)
 (0.07150147781095216+2.635011001643219e-17j)  (-0.05727380886206305-0.023426264033257028j)  (0.08050924188546464-0.001059206977920123j)  (0.04950885480161682-0.0027912319533747757j)  (0.49086024746135215+1.0872958853428477e-05j)  (-0.01238232582225662-0.001624078074445816j)  (0.4907297132888815-3.498714666418216e-05j)  (-0.017220462013377114+0.0027539950874072615j)  (-0.49025876298542537-5.793255978968207e-06j)  (0.025362676720861604-0.0015719744661718254j)  (-0.48849027881410456-2.7233056240733135e-05j)  (0.048954227525525716-0.0004010146766288542j)  (-0.05568457891297777-0.00033812271238595356j)  (-0.07537369606107588+0.012528724480728334j)  (0.06313398881896877+0.006356041866762567j)  (0.07009255831409494-0.00014275149956620797j)
 (-0.321314675893662+7.687807438045786e-17j)  (-0.343642853172378-0.14055758419954217j)  (-0.2574521904024191-0.00423682791168055j)  (0.4179379461109402-0.01116492781349913j)  (-0.002404157176212309+6.52377531201504e-05j)  (-0.09402746432985883-0.00974446844667491j)  (-0.003355583099282219-0.00013994858665690885j)  (-0.09386167913524482+0.011015980349629037j)  (0.0048937231069427775-2.317302391569241e-05j)  (0.09420559643459549-0.006287897864687308j)  (0.009426623066035804-0.0001633983374439813j)  (0.09404385762070945-0.0024060880597731892j)  (0.39675186949660735-0.001352490849543769j)  (-0.28477610693432653+0.05011489792291333j)  (0.361958651656847+0.03813625120057538j)  (-0.3294844973464811-0.0008565089973973282j)
 (2.048395993493143e-16+2.6278364543629804e-17j)  (0.4544056646277309+0.18586204216685046j)  (0.17404251226119843-0.006941629504437271j)  (0.45863842629039797-0.01829264580499764j)  (-0.0006295830134346848-6.526047709162429e-05j)  (0.09403990044972224+0.009747862693296338j)  (0.0011927807496855398-0.00014007571032623458j)  (-0.09388911752403908+0.01102598682326927j)  (-0.00034773017852447735+2.3205659870879623e-05j)  (-0.09435505072562647+0.006296753487228083j)  (0.006404872294535591-0.0001635097193603244j)  (0.09431360804107168-0.002407728190898067j)  (-0.013059836524102057+0.0022166006542950374j)  (0.48391630488001147-0.08213343222493587j)  (0.4882869250034522+0.05044102279419912j)  (-0.01096652480017942-0.001132864099146387j)
 (-0.3213146758936621-4.218261080794057e-17j)  (-0.3436428531723768-0.14055758419954192j)  (0.25745219040241984+0.004236827911680274j)  (-0.41793794611094104+0.011164927813498635j)  (-0.0024041571762128235+6.523775312015149e-05j)  (-0.09402746432986045-0.009744468446675026j)  (0.0033555830992822817+0.00013994858665690964j)  (0.09386167913524464-0.01101598034962912j)  (-0.0048937231069430326+2.31730239156936e-05j)  (-0.09420559643459585+0.006287897864687302j)  (0.009426623066037232-0.00016339833744398726j)  (0.09404385762070988-0.0024060880597732964j)  (-0.3967518694966069+0.001352490849543863j)  (0.2847761069343272-0.05011489792291325j)  (0.3619586516568465+0.03813625120057527j)  (-0.32948449734648133-0.0008565089973974439j)
 (2.5147694855006863e-16-1.2676206281114716e-16j)  (0.45440566462773135+0.18586204216685046j)  (-0.1740425122611987+0.006941629504437604j)  (-0.458638426290397+0.018292645804998092j)  (-0.000629583013435527-6.52604770916252e-05j)  (0.09403990044971973+0.00974786269329617j)  (-0.001192780749685606+0.00014007571032622663j)  (0.09388911752403956-0.011025986823269144j)  (0.0003477301785245132-2.3205659870879013e-05j)  (0.09435505072562576-0.006296753487228195j)  (0.006404872294535438-0.00016350971936031366j)  (0.09431360804107058-0.0024077281908978787j)  (0.013059836524102081-0.0022166006542948804j)  (-0.48391630488001136+0.08213343222493581j)  (0.4882869250034531+0.050441022794199125j)  (-0.010966524800179718-0.0011328640991462302j)
 (0.4909472545642781+5.284359157040399e-32j)  (5.680689160795432e-17+5.499175596586206e-17j)  (0.4590030794675343-2.8222198495488423e-17j)  (-0.17418088957852487-7.601153235868483e-17j)  (-0.09454376607519334+1.0175080892871632e-19j)  (-0.0006329563181425612-1.746986029270005e-17j)  (-0.09453432590794532+6.504919828195589e-21j)  (-0.001200977569084536-2.3849246045425834e-18j)  (-0.09456492321106377-1.474743988250284e-20j)  (0.0003485036294025373-2.6782756928723246e-18j)  (-0.0943443364318506-1.4430491698588406e-19j)  (0.006406959071013109-2.2527949297266283e-18j)  (0.49083692894664316+1.1161137797611976e-18j)  (0.01324660894330679-3.043715084836997e-17j)  (-0.011024883095075818-2.7556620929173634e-17j)  (-0.49088534089933095+5.660296321886824e-19j)
 (0.3712773155102036-1.2290747410154109e-17j)  (-0.2973989720824219-0.12164280640041109j)  (-0.41805087273900554+0.005500019515283557j)  (-0.257078808263644+0.014493701925368408j)  (-0.09453104627172382-2.093940549865248e-06j)  (0.0023846180686023775+0.00031276885915764466j)  (0.09450590768704133-6.7379087985522115e-06j)  (-0.003316357965074393+0.0005303709933452611j)  (-0.09441521094564091-1.1156791608986284e-06j)  (0.004884405243802524-0.00030273462104172275j)  (0.09407463201325697+5.244607427304746e-06j)  (-0.009427722801643409+7.722837029084515e-05j)  (0.2891467646135757+0.0017557300465818253j)  (0.39138412785856946-0.06505643427777234j)  (0.32782843940838874+0.03300427115368816j)  (0.36396138492277963-0.0007412489247304799j)
 (0.49094725456427785+6.012369838523224e-17j)  (-4.563468167983173e-16-2.9536398295292775e-16j)  (-0.4590030794675346+2.428349881777407e-17j)  (0.17418088957852523+2.3513992682407466e-16j)  (-0.09454376607519331-1.169378328592335e-17j)  (-0.0006329563181422713+1.9450877530915314e-17j)  (0.09453432590794526+1.1583063869272097e-17j)  (0.001200977569084489+3.678661326399181e-18j)  (0.09456492321106363+1.1595527948948138e-17j)  (-0.0003485036294025304+2.6681646181653815e-18j)  (-0.09434433643184881-1.1427629254923152e-17j)  (0.006406959071012801+2.982298736535971e-18j)  (-0.49083692894664344-6.374192042175409e-17j)  (-0.01324660894330643+1.3825555024559714e-16j)  (-0.011024883095075839-1.8995043161480215e-16j)  (-0.49088534089933145-5.591240522162277e-17j)
