 (0.09454780230873203+0.0j)  (-4.4264070686042954e-17+0.0j)  (0.008593079195787034-0.0j)  (0.09415523692626179+0.0j)  (0.4903018732302532+0.0j)  (0.024970053059984714+0.0j)  (-0.00677013250858586+0.0j)  (0.4908702033099451+0.0j)  (-0.005048355397378194+0.0j)  (0.4910135391589177+0.0j)  (-0.49087978677251154+0.0j)  (0.011695179202364417-0.0j)  (-0.03185097343116091+0.0j)  (0.08903534758435501+0.0j)  (-0.09123590492441722+0.0j)  (-0.02485055351288391+0.0j)
 (0.3213146758936623+2.5163433012260443e-16j)  (-0.2912817641966487+0.2302211520667713j)  (-0.25680602131955155-0.060734808396465695j)  (0.41403814979745074+0.005542963254402077j)  (0.007128623383314658+0.0025113556711162405j)  (-0.08033124449085591-0.04931196529449699j)  (0.05717068087677182-0.07513059655768757j)  (0.005336584740679828-0.001036208942231296j)  (-0.09097372980755439+0.02513645561001878j)  (-0.005482099487523373+0.00025844045271577126j)  (0.000835620595940445-0.0004907333920335512j)  (-0.09226987312044223-0.020597470006690256j)  (-0.14824732645542826+0.03995858464719539j)  (-0.4660949655797222+0.014294545396577289j)  (0.21554850009633716+0.024504800082260806j)  (0.43113059788963426-0.08996651158445465j)
 (0.4909472545642787+1.202473967704648e-16j)  (-3.6616914991489606e-16-6.7218640015674e-17j)  (0.044620271824505106+1.9687302475544802e-16j)  (0.48890882646701395+1.0201797334528471e-16j)  (-0.09442351322020737-2.0318564364306897e-17j)  (-0.004808792835493748-4.2725086650576644e-17j)  (0.0013038083909721826-6.4998550152402765e-18j)  (-0.09453296359297525-2.3838651621255283e-17j)  (0.0009722244164888146-1.235272234575772e-17j)  (-0.09456056755528736-2.3326842650939422e-17j)  (0.0945348091992298+2.3510882727720546e-17j)  (-0.002252285720940865+2.2183626012080332e-17j)  (-0.16538880417513457+6.0677889424564405e-18j)  (0.4623233791620197+1.304123778781254e-16j)  (-0.4737499544840645-7.088355896812702e-17j)  (-0.12903854688990765-1.954539980953422e-16j)
 (0.06187955258503408+9.516006047230317e-17j)  (-0.056095742264300454+0.0443365428170404j)  (-0.049456320836260004-0.011696455381185834j)  (0.07973646205653094+0.0010674771864175674j)  (-0.03701596434185628-0.013040421266937203j)  (0.41712660659988676+0.256056443273527j)  (-0.29686347152068165+0.3901218136549592j)  (-0.027710656019599877+0.005380600319849152j)  (0.472388588585589-0.13052311708863323j)  (0.028466253333518043-0.0013419733471417763j)  (-0.004339028802535866+0.002548173576316132j)  (0.47911891954459407+0.10695406031474348j)  (-0.028549826451203453+0.007695320274502581j)  (-0.08976168876193792+0.002752877910374068j)  (0.041510848233868636+0.0047191932987768175j)  (0.08302816679297259-0.01732596704149534j)
 (-0.07150147781095133+3.456439273359044e-17j)  (-0.04854696069944165+0.03837019201112851j)  (0.07828472443204648+0.015183702099116646j)  (0.0508017171121312-0.0013857408136005271j)  (-0.48944798792471844+0.0004185592785193844j)  (-0.03837561486512802-0.008218660882416387j)  (-0.021072337510203414+0.01878264913942184j)  (0.49022737898314617+0.00025905223555782223j)  (0.027796373572335106-0.006284113902504714j)  (-0.49008903124427433-6.461011317894277e-05j)  (-0.4909115026091414-8.178889867225763e-05j)  (-0.00367905925550023-0.003432911667781678j)  (0.08924654657602503-0.009989646161798893j)  (-0.02935199597583139-0.003573636349144353j)  (-0.08471827116819684+0.00408413334704346j)  (0.03899472678981307-0.014994418597409099j)
 (2.3555370781127606e-16-2.530236792782096e-16j)  (0.3851675727628842-0.30442593131359785j)  (-0.47867524067472256-0.09950806280070204j)  (0.04368630345438767+0.00908160493436441j)  (-0.004100388609587724-0.002512230440278706j)  (0.08051357405701404+0.04932914190833909j)  (0.057285385063102046-0.07519884217089287j)  (0.000790085943427553-0.0010371501927725164j)  (0.09114866187965083-0.025171856783461358j)  (0.0009371449104074878-0.000258804429858496j)  (-0.0021980999253119237-0.0004910679047738241j)  (-0.09226047792612321-0.020611510453593808j)  (0.457661664687683-0.06548822485826612j)  (0.1637211502837956-0.023427366395557602j)  (-0.12490176669889284+0.032411344602690254j)  (0.4585622491476422-0.11899446638524332j)
 (-0.3712773155102042+8.861765757796368e-17j)  (-0.25208409387459196+0.19924038385848256j)  (0.4064998825539543+0.07884262434087973j)  (0.2637921023474503-0.0071955733646069464j)  (0.09425906993569794-8.060715189257599e-05j)  (0.007390468149095316+0.0015827694668390097j)  (0.004058161406494454-0.003617207716630411j)  (-0.09440916693904851-4.9888902173205344e-05j)  (-0.005353092433013647+0.0012102097596347412j)  (0.0943825235989685+1.2442770890754408e-05j)  (0.09454091711127995+1.575110269142408e-05j)  (0.0007085220742888053+0.0006611183802155158j)  (0.4634200473298121-0.05187206087762001j)  (-0.15241265781367608-0.018556401223315314j)  (-0.4399066041286189+0.02120719895168003j)  (0.20248333216069597-0.07785975416062822j)
 (3.877861528117465e-17-5.493940928188572e-17j)  (0.07417649693884093-0.0586270775605718j)  (-0.09218442837727436-0.01916350190848046j)  (0.00841321332221442+0.0017489573065081658j)  (0.021291605741929842+0.013044963577897254j)  (-0.4180733678967459-0.25614563425630765j)  (-0.2974590824602346+0.3904761846252113j)  (-0.004102586367147165+0.005385487840846812j)  (-0.47329693778497794+0.1307069405989169j)  (-0.00486620217137436+0.0013438633284483966j)  (0.011413814993457005+0.002549910561285083j)  (0.47907013422388145+0.10702696649227439j)  (0.08813758340614508-0.012611879748557259j)  (0.03152981263644897-0.00451169852970704j)  (-0.024053882440669073+0.0062418546464326225j)  (0.08831102012605854-0.022916240347672822j)
 (0.09454780230873135+5.536348517735903e-32j)  (-4.766060217959354e-17+5.313471799677587e-18j)  (-0.008593079195787714-1.1642196078237304e-16j)  (-0.09415523692626292+1.1005227722638343e-17j)  (0.49030187323025176-1.1029081402719931e-18j)  (0.024970053059984672+1.485635101638093e-17j)  (0.006770132508585884+6.2138778203330166e-18j)  (-0.4908702033099457+3.810535997531586e-19j)  (0.005048355397378135+1.0761054916556897e-17j)  (-0.49101353915891716+1.2900506540608678e-19j)  (-0.4908797867725122-1.6764827914293072e-20j)  (0.011695179202364424-4.588967960411215e-18j)  (0.03185097343116121-8.682180187527015e-19j)  (-0.08903534758435615-5.675204958303487e-19j)  (-0.09123590492441742-1.3397606142289068e-17j)  (-0.024850553512884125+4.82274584218189e-17j)
 (0.3213146758936615+2.477157102939346e-16j)  (-0.2912817641966502+0.23022115206677105j)  (0.2568060213195493+0.06073480839646604j)  (-0.4140381497974512-0.005542963254402103j)  (0.007128623383314414+0.0025113556711162895j)  (-0.08033124449085936-0.04931196529449805j)  (-0.05717068087677193+0.07513059655768764j)  (-0.005336584740679813+0.001036208942231286j)  (0.0909737298075543-0.025136455610018846j)  (0.005482099487523197-0.0002584404527157715j)  (0.0008356205959395379-0.0004907333920335457j)  (-0.09226987312044382-0.020597470006690058j)  (0.148247326455428-0.039958584647195566j)  (0.4660949655797211-0.014294545396577344j)  (0.2155485000963379+0.024504800082260844j)  (0.4311305978896347-0.08996651158445484j)
 (0.49094725456427785+1.202473967704648e-16j)  (-3.801264918592667e-16-2.6268781698115815e-17j)  (-0.044620271824504974-1.6888778430933285e-16j)  (-0.4889088264670149-1.044427539253588e-16j)  (-0.0944235132202082-2.6598582368441164e-17j)  (-0.0048087928354936275+6.265072613131584e-17j)  (-0.001303808390972223-4.738671813578382e-17j)  (0.0945329635929751+2.2714331312851654e-17j)  (-0.0009722244164887462+1.5819853006055758e-17j)  (0.09456056755528719+2.330559539463743e-17j)  (0.09453480919923105+2.1860072530763654e-17j)  (-0.0022522857209412556-6.719681554362846e-17j)  (0.16538880417513452-3.719516227672356e-17j)  (-0.4623233791620189-1.4162003336037015e-16j)  (-0.47374995448406515-1.4885625214080838e-16j)  (-0.12903854688990898+8.283173511292852e-17j)
 (0.061879552585033935+6.953491889810795e-17j)  (-0.05609574226430053+0.04433654281704044j)  (0.04945632083626532+0.01169645538118816j)  (-0.07973646205653125-0.0010674771864177738j)  (-0.03701596434185629-0.013040421266937153j)  (0.4171266065998864+0.2560564432735262j)  (0.29686347152068143-0.3901218136549596j)  (0.027710656019599853-0.0053806003198491595j)  (-0.4723885885855893+0.1305231170886332j)  (-0.02846625333351799+0.0013419733471417754j)  (-0.0043390288025359405+0.0025481735763161362j)  (0.4791189195445932+0.10695406031474367j)  (0.02854982645120685-0.0076953202745019735j)  (0.08976168876193857-0.002752877910373862j)  (0.04151084823386868+0.004719193298776841j)  (0.08302816679297279-0.0173259670414954j)
