 (8.677401997686553e-17+0.0j)  (-0.31835313925666214+0.0j)  (-0.02728957714264921-0.0j)  (-0.07497692843292872+0.0j)  (-0.4910436144168928+0.0j)  (0.0+0.0j)  (0.17584813955869508-0.0j)  (-0.34665165655452407+0.0j)  (-0.38823882083348304+0.0j)  (-0.020193708298119062+0.0j)  (-0.018249059092707322+0.0j)  (-0.0033344545999977344+0.0j)  (-0.49720697824886845+0.0j)  (0.0006977882255470964-0.0j)  (-0.31839348051183813+0.0j)  (0.0005082393517131277+0.0j)
 (-0.1232082020413027+0.2161222961789246j)  (-0.24877521571873085+4.055251960185603e-17j)  (-0.1574825104682256-0.19934679279654896j)  (-0.2584483230144019-0.1383823887936146j)  (-0.3117701394446387+0.03220808839943565j)  (-0.06047739168664399-0.011401724376748152j)  (0.2061937640890869-0.2011325958420302j)  (-0.1743601177533422-0.10202978152469572j)  (0.2539840613602716+0.011653339237261636j)  (-0.09435904515270271-0.22404397535386925j)  (0.26067065736175987-0.23627676653160412j)  (-0.01920875644706333-0.023676525108598603j)  (0.3461611983159806+0.008927655279334099j)  (0.055429752836018524+0.06895434717050278j)  (0.24854143689571329-0.00034205762918864215j)  (-0.12670752167163407-0.2142866716752802j)
 (-7.454541325952395e-16-6.199127228968571e-16j)  (-0.35177625923794964-8.093893204001743e-17j)  (0.24390897247329+0.13438163727392544j)  (-0.3344912252030836-0.10421794212747236j)  (-0.012882882678067004+0.008444714501176167j)  (-0.22090976482341812+0.05572896344840541j)  (-0.1591403791211687+1.7911782603876352e-16j)  (0.3137154375673951+1.901513115001301e-16j)  (0.3513513039833654+9.998578292583345e-17j)  (0.01827505484271662-2.724542143956787e-16j)  (-0.021205395084917786-0.009056174653928413j)  (-0.14592489429754638+0.3015107311165666j)  (-0.048520929995434794-0.0018703704757405798j)  (-0.3476156972918635-0.1287698348184626j)  (-0.35182083582315976-8.578215721154673e-17j)  (0.0005615981622176255+2.877469829164412e-16j)
 (-0.11150189039757334+0.19558798993703j)  (-0.2251384759872036-7.387520971568242e-17j)  (0.2613087385302074+0.11919310057485318j)  (-0.3518893397571567-0.004543703461357565j)  (0.003914882342067453-0.005930341619907584j)  (0.045453575499358814-0.1977546089452836j)  (-0.22784154470351434+0.22224901674076158j)  (0.19266576144584202+0.11274163954980299j)  (-0.2806492287778133-0.012876794914247001j)  (0.10426557126651056+0.24756580613217322j)  (-0.06186098967074429+0.07294119260968264j)  (-0.14700798984722208-0.17727573172994518j)  (0.03853140961883303-0.0010573565988921958j)  (0.2992176175221582+0.3070633292172222j)  (0.2249269090600875-0.00030955789994118566j)  (-0.11466873113887704-0.19392677259252594j)
 (-0.12320820204130285+0.21612229617892464j)  (0.24877521571873104+7.101869676556965e-17j)  (-0.11849973976878096-0.19934679279654896j)  (-0.15134485293968053-0.13838238879361459j)  (0.3896786416844763+0.03220808839943569j)  (-0.060477391686644-0.011401724376748145j)  (-0.01889989076113773-0.20113259584203028j)  (0.26936984452867485-0.1020297815246957j)  (-0.24282407619327295+0.011653339237261607j)  (-0.12019983713829097-0.22404397535386927j)  (0.2346094370382768-0.23627676653160418j)  (-0.023970643377656902-0.023676525108598603j)  (-0.363892977117931+0.008927655279334059j)  (0.05642625422234932+0.06895434717050276j)  (-0.24894468602967895-0.0003420576291886726j)  (-0.12591340357538594-0.2142866716752802j)
 (0.1925113876314347-0.3376885827905289j)  (-2.6083077840404553e-20-1.1577758228633448e-16j)  (0.2463907385063278+0.31156063153086216j)  (0.227211180737707+0.1767783221025654j)  (-0.04838571321459728-0.044306967558038514j)  (0.04218494525885582+0.02742843222416576j)  (-0.11983489979632518+0.2573784613477555j)  (-0.06078939415098949+0.13056197117397456j)  (0.0071426455111160405+0.014916806778323664j)  (-0.1373225873093147-0.2867865272054423j)  (0.3498741682659454-0.3393292170952245j)  (-0.05995886735337564+0.026480568686823067j)  (-0.012424842658625312+0.012378953803333323j)  (0.010355258031962671+0.07274633190230384j)  (-0.00031511669878592213-0.0005345979040027168j)  (-0.19740915801909376-0.3349061554482608j)
 (-0.1361435308058331+0.23881244917281602j)  (0.27489351913094956+9.48758152968182e-17j)  (-0.11860824277282656-0.11263850513405964j)  (0.07423692752150339+0.11665365876236095j)  (-0.04003613187018223-0.01155187784309587j)  (0.348924537138885-0.2796429811664183j)  (0.017104166064106086+0.18202249757235547j)  (-0.24377635890651767+0.09233568324486362j)  (0.21975276873626953-0.010546127066794503j)  (0.10877935757805184+0.2027570110613989j)  (-0.04000997967589329+0.012752845785998132j)  (-0.35924299591485415+0.24857212666542428j)  (0.038471603018852225-0.0019428748725928513j)  (-0.1861214382083454+0.13695983899288075j)  (-0.2750807817166949-0.0003779694257790695j)  (-0.13913274485400337-0.23678410692758153j)
 (0.17422041137138838-0.3056039672926852j)  (1.2749461158873291e-16+2.9446853631042697e-18j)  (-0.12926230023131707-0.03583632516128164j)  (0.16803690878498803-0.0977291441905786j)  (-0.018473670166826224+0.016913750562969364j)  (-0.2858213659948036+0.3381394925351795j)  (0.13241607378188788-0.28439999854481757j)  (0.06717152444517299-0.14426935423207943j)  (-0.007892534450359144-0.01648288595647698j)  (0.1517397509738447+0.31689554554333405j)  (-0.10957293419956876+0.0951392759088961j)  (-0.35592370553761754+0.04827488343447048j)  (0.006520637634789346-0.0033807892567535476j)  (0.0798123904402461+0.3098657398741041j)  (-0.0002851766930152717-0.00048380445385360444j)  (-0.17865283265430099-0.30308590515545414j)
 (9.2818939919169e-16+5.020568537183691e-16j)  (-0.3517762592379505-5.221401938339464e-18j)  (-0.24936688790181988-0.13438163727392555j)  (0.3194958395164978+0.10421794212747217j)  (-0.08532584020531131-0.008444714501176141j)  (0.22090976482341812-0.05572896344840549j)  (-0.15914037912116982-1.4474000207883716e-16j)  (0.313715437567394-7.610144893942011e-17j)  (0.35135130398336467-1.8301882472959105e-17j)  (0.01827505484271822+3.6099193106357345e-16j)  (0.017555583266376566+0.009056174653928195j)  (0.14525800337754677-0.3015107311165667j)  (-0.05092046565433883+0.0018703704757405764j)  (0.34775525493697307+0.12876983481846252j)  (-0.3518208358231605-1.9617852206836607e-19j)  (0.0005615981622202309-1.6675434405413236e-16j)
 (-0.13614353080583336+0.238812449172817j)  (-0.2748935191309503+3.450534004239999e-17j)  (-0.26130873853020853-0.11919310057485177j)  (0.3518893397571559+0.004543703461358019j)  (-0.0039148823420669405+0.005930341619907439j)  (-0.045453575499358675+0.19775460894528418j)  (-0.18660279188569703+0.1820224975723542j)  (0.15779373789517318+0.09233568324486305j)  (-0.2298524165057585-0.010546127066794503j)  (0.08539376223596798+0.20275701106139798j)  (0.06186098967074474-0.0729411926096827j)  (0.14700798984722274+0.17727573172994604j)  (-0.03853140961883289+0.0010573565988921927j)  (-0.2992176175221583-0.3070633292172221j)  (0.2746351964392307-0.00037796942577900014j)  (-0.1400102354732054-0.2367841069275824j)
 (1.5812769135235107e-16-2.220446049250313e-16j)  (-0.3887083911042506-9.520609739350778e-17j)  (0.027289577142649638+2.7755575615628914e-16j)  (0.0749769284329282-1.6653345369377348e-16j)  (0.49104361441689365+1.3183898417423734e-16j)  (-4.2028299114466286e-16+1.0755285551056204e-16j)  (0.14402006373446088-1.1102230246251565e-16j)  (-0.28390856904104417-1.3877787807814457e-16j)  (-0.31796856003680996-6.591949208711867e-17j)  (-0.016538697329575712-1.6653345369377348e-16j)  (0.01824905909270727+5.551115123125783e-17j)  (0.0033344545999974607+5.620504062164855e-16j)  (0.4972069782488687+1.1796119636642288e-16j)  (-0.0006977882255477558-2.3592239273284576e-16j)  (-0.38875764767646986-9.481347998385736e-17j)  (0.0006205589841570082+2.220446049250313e-16j)
 (-0.123208202041304+0.21612229617892273j)  (-0.24877521571873035-1.0292620313650017e-16j)  (0.20974425817426742+0.22318541291152103j)  (0.18807045506297004+0.13747364810134224j)  (0.31255311591305324-0.03339415672341697j)  (0.06956810678651633-0.02814919741231073j)  (0.2061937640890857-0.2011325958420303j)  (-0.1743601177533422-0.10202978152469586j)  (0.25398406136027163+0.011653339237261725j)  (-0.0943590451527029-0.22404397535386922j)  (-0.273042855295908+0.25086500505354037j)  (-0.010192841522380444-0.011778621237390813j)  (-0.33845491639221403-0.009139126599112653j)  (0.004413770668414164-0.00754168132705574j)  (0.2485414368957129-0.0003420576291885491j)  (-0.12670752167163524-0.21428667167528107j)
 (-0.1115018903975739+0.19558798993703141j)  (0.225138475987204+4.9463089717712835e-17j)  (0.11860824277282576+0.1126385051340612j)  (-0.07423692752150417-0.1166536587623602j)  (0.04003613187018252+0.011551877843095668j)  (-0.34892453713888477+0.279642981166419j)  (0.020884144216335405+0.2222490167407605j)  (-0.2976503278122511+0.1127416395498023j)  (0.26831758397492356-0.012876794914246831j)  (0.13281932500571061+0.24756580613217247j)  (0.040009979675894064-0.012752845785998465j)  (0.3592429959148547-0.24857212666542342j)  (-0.03847160301885196+0.0019428748725928585j)  (0.18612143820834554-0.1369598389928807j)  (-0.2252918445107596-0.00030955789994129983j)  (-0.1139500641389241-0.19392677259252664j)
 (0.17422041137138894-0.3056039672926871j)  (2.2017815265920667e-16-5.895997637121254e-17j)  (0.0799841525300529-0.02647580114489307j)  (-0.21347914493252843+0.062373479770064306j)  (0.028150812809745126-0.00805235705136138j)  (0.27738437694303225-0.3436251789800134j)  (0.13241607378188663-0.28439999854481623j)  (0.0671715244451723-0.1442693542320787j)  (-0.007892534450359133-0.01648288595647688j)  (0.15173975097384365+0.31689554554333277j)  (0.0395981005463807-0.027273432489851496j)  (0.3679154790082934-0.0535709971718341j)  (-0.004035669103064008+0.0009049984960868733j)  (-0.08188344204663833-0.3244150062545645j)  (-0.0002851766930152101-0.00048380445385365383j)  (-0.17865283265430054-0.3030859051554554j)
 (-0.12320820204130435+0.21612229617892337j)  (0.24877521571873+5.752943572978845e-17j)  (0.14222138832334558+0.22187449382336202j)  (0.1364974674353797+0.11505165704114183j)  (-0.3816714153104408-0.029897712830816527j)  (-0.009307515741131842+0.06733032061002961j)  (-0.018899890761138422-0.20113259584203047j)  (0.2693698445286741-0.10202978152469581j)  (-0.24282407619327254+0.011653339237261594j)  (-0.1201998371382914-0.22404397535386947j)  (-0.22660744110309738+0.2337261973744045j)  (0.09581924256062814-0.02603790022448566j)  (0.35619865651416066-0.00853908030481544j)  (-0.019201966580680144-0.0963463149690767j)  (-0.24894468602967884-0.0003420576291887069j)  (-0.12591340357538688-0.21428667167528073j)
 (0.15766730535715903-0.27656778933198956j)  (2.345540945870483e-16+6.962231598751712e-18j)  (-0.24639073850632773-0.3115606315308641j)  (-0.22721118073770682-0.1767783221025648j)  (0.04838571321459719+0.04430696755803844j)  (-0.042184945258857125-0.02742843222416262j)  (-0.1463181145527016+0.31425846105671945j)  (-0.07422369904002374+0.15941584202039075j)  (0.008721152401188105+0.018213383969619114j)  (-0.167670537504084-0.35016563631410935j)  (-0.34987416826594436+0.33932921709522434j)  (0.05995886735337629-0.026480568686822845j)  (0.012424842658625286-0.012378953803333375j)  (-0.01035525803196173-0.07274633190230051j)  (-0.0002580813601831013-0.00043783701323194473j)  (-0.1616785914882347-0.2742889744171708j)
